Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;PI;TERESINA;PN PETROLEO LTDA.; 06.331.431/0001-17;RUA MUNDINHO FERRAZ;3225;;SAO CRISTOVAO;64055-330;GASOLINA;07/01/2026;5,89;;R$ / litro;BRANCA
NE;PI;TERESINA;PN PETROLEO LTDA.; 06.331.431/0001-17;RUA MUNDINHO FERRAZ;3225;;SAO CRISTOVAO;64055-330;GASOLINA ADITIVADA;07/01/2026;5,89;;R$ / litro;BRANCA
NE;PI;TERESINA;PN PETROLEO LTDA.; 06.331.431/0001-17;RUA MUNDINHO FERRAZ;3225;;SAO CRISTOVAO;64055-330;DIESEL S10;07/01/2026;6,09;;R$ / litro;BRANCA
NE;PI;TERESINA;S P MAGALHAES EMPREENDIMENTOS LTDA; 10.978.518/0001-58;AVENIDA JOAO XXIII;1520;0;SÃO CRISTÓVÃO;64045-000;GASOLINA;05/01/2026;5,79;;R$ / litro;SABBÁ
NE;PI;TERESINA;S P MAGALHAES EMPREENDIMENTOS LTDA; 10.978.518/0001-58;AVENIDA JOAO XXIII;1520;0;SÃO CRISTÓVÃO;64045-000;GASOLINA ADITIVADA;05/01/2026;5,99;;R$ / litro;SABBÁ
NE;PI;TERESINA;S P MAGALHAES EMPREENDIMENTOS LTDA; 10.978.518/0001-58;AVENIDA JOAO XXIII;1520;0;SÃO CRISTÓVÃO;64045-000;ETANOL;05/01/2026;4,49;;R$ / litro;SABBÁ
NE;PI;TERESINA;TRANSSERVICE PETROLEO LTDA; 02.927.004/0001-45;AVENIDA BARAO DE GURGUEIA;2300;;SAO PEDRO;64019-350;GASOLINA;08/01/2026;5,85;;R$ / litro;BRANCA
NE;PI;TERESINA;TRANSSERVICE PETROLEO LTDA; 02.927.004/0001-45;AVENIDA BARAO DE GURGUEIA;2300;;SAO PEDRO;64019-350;GASOLINA ADITIVADA;08/01/2026;5,85;;R$ / litro;BRANCA
NE;PI;TERESINA;TRANSSERVICE PETROLEO LTDA; 02.927.004/0001-45;AVENIDA BARAO DE GURGUEIA;2300;;SAO PEDRO;64019-350;DIESEL;08/01/2026;6,04;;R$ / litro;BRANCA
NE;PI;TERESINA;TRANSSERVICE PETROLEO LTDA; 02.927.004/0001-45;AVENIDA BARAO DE GURGUEIA;2300;;SAO PEDRO;64019-350;DIESEL S10;08/01/2026;6,06;;R$ / litro;BRANCA
NE;PI;TERESINA;TRANSSERVICE PETROLEO LTDA; 02.927.004/0001-45;AVENIDA BARAO DE GURGUEIA;2300;;SAO PEDRO;64019-350;ETANOL;08/01/2026;4,35;;R$ / litro;BRANCA
NE;PI;TERESINA;SAO FRANCISCO PETROLEO LTDA; 10.336.626/0001-27;AVENIDA FREI SERAFIM;2474;;CENTRO;64001-020;GASOLINA;05/01/2026;5,94;;R$ / litro;VIBRA
